都道府県名,市区町郡名,施設名,電話番号,カテゴリ
東京都,渋谷区,カラオケルーム歌広場 代々木店,03-3320-6500,karaoke
東京都,渋谷区,カラオケまねきねこ 幡ヶ谷駅前店,03-6276-8227,karaoke
東京都,渋谷区,カラオケ ビッグエコー 恵比寿駅前店,03-5791-3355,karaoke
東京都,渋谷区,カラオケの鉄人 恵比寿駅前店,03-5422-7301,karaoke
東京都,渋谷区,カラオケ ビッグエコープライム恵比寿店,03-5456-3030,karaoke
東京都,渋谷区,カラオケ ビッグエコー恵比寿南店,03-5794-8077,karaoke
東京都,渋谷区,カラオケ ビッグエコー恵比寿東口店,03-5447-5488,karaoke
東京都,渋谷区,カラオケ ビッグエコープライム恵比寿2号店,03-5459-2333,karaoke
東京都,渋谷区,カラオケまねきねこ 笹塚店,03-6276-0563,karaoke
東京都,渋谷区,カラオケまねきねこ 笹塚テラス店,03-5843-5818,karaoke
東京都,渋谷区,カラオケ館 原宿店,03-5467-8226,karaoke
東京都,渋谷区,カラオケ館 原宿3号店,03-6438-0258,karaoke
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
